instance,category,parameter_set,runs,population_size,generations,crossover_probability,mutation_probability,best_cmax,worst_cmax,average_cmax,standard_deviation,average_execution_time,average_convergence_generation
la01,Small,Set A,10,30,100,0.7,0.05,666,707,690.2,11.92,0.136,42.3
la01,Small,Set B,10,50,200,0.8,0.1,666,688,670.5,7.35,0.4377,34.6
la01,Small,Set C,10,100,300,0.9,0.2,666,678,668.6,4.97,1.3305,13.5
la02,Small,Set A,10,30,100,0.7,0.05,686,744,718.3,20.76,0.1293,65.8
la02,Small,Set B,10,50,200,0.8,0.1,671,729,701,22.56,0.4343,59.1
la02,Small,Set C,10,100,300,0.9,0.2,663,686,669.8,8.16,1.3193,104.7
la16,Medium,Set A,10,30,100,0.7,0.05,982,1047,1009.8,18.5,0.2576,19.1
la16,Medium,Set B,10,50,200,0.8,0.1,975,1025,987.5,17.63,0.8527,27.3
la16,Medium,Set C,10,100,300,0.9,0.2,961,988,978.7,6.85,2.5786,58.7
la17,Medium,Set A,10,30,100,0.7,0.05,812,868,833.5,22.16,0.2539,39.9
la17,Medium,Set B,10,50,200,0.8,0.1,806,837,820.9,8.46,0.8527,68.3
la17,Medium,Set C,10,100,300,0.9,0.2,784,821,796.8,12.26,2.5759,123.7
la31,Large,Set A,10,30,100,0.7,0.05,1827,1876,1848.3,15.9,1.6589,54.9
la31,Large,Set B,10,50,200,0.8,0.1,1784,1835,1809.8,14.04,5.5437,103.2
la31,Large,Set C,10,100,300,0.9,0.2,1784,1814,1791.5,9.77,16.6783,87.7
la32,Large,Set A,10,30,100,0.7,0.05,1925,1991,1969.5,20.22,1.6862,58
la32,Large,Set B,10,50,200,0.8,0.1,1882,1940,1915.8,19.54,5.5282,123.3
la32,Large,Set C,10,100,300,0.9,0.2,1850,1900,1866.3,17.11,16.7175,94.5
