instance,category,parameter_set,run,seed,best_cmax,execution_time,convergence_generation
la01,Small,Set A,1,1,690,0.1619,30
la01,Small,Set A,2,2,702,0.1543,5
la01,Small,Set A,3,3,666,0.1301,30
la01,Small,Set A,4,4,688,0.132,95
la01,Small,Set A,5,5,707,0.1314,62
la01,Small,Set A,6,6,699,0.1297,14
la01,Small,Set A,7,7,689,0.1316,5
la01,Small,Set A,8,8,677,0.1295,77
la01,Small,Set A,9,9,694,0.1292,79
la01,Small,Set A,10,10,690,0.1299,26
la01,Small,Set B,1,1,688,0.4364,5
la01,Small,Set B,2,2,666,0.4379,79
la01,Small,Set B,3,3,676,0.4349,33
la01,Small,Set B,4,4,676,0.4402,26
la01,Small,Set B,5,5,666,0.4377,25
la01,Small,Set B,6,6,668,0.4362,29
la01,Small,Set B,7,7,667,0.441,15
la01,Small,Set B,8,8,666,0.4378,14
la01,Small,Set B,9,9,666,0.4403,88
la01,Small,Set B,10,10,666,0.4351,32
la01,Small,Set C,1,1,666,1.3345,13
la01,Small,Set C,2,2,678,1.3557,9
la01,Small,Set C,3,3,666,1.3492,10
la01,Small,Set C,4,4,666,1.3308,24
la01,Small,Set C,5,5,666,1.3312,16
la01,Small,Set C,6,6,666,1.3271,8
la01,Small,Set C,7,7,667,1.3183,25
la01,Small,Set C,8,8,678,1.3212,12
la01,Small,Set C,9,9,666,1.3307,10
la01,Small,Set C,10,10,667,1.3058,8
la02,Small,Set A,1,1,695,0.1305,70
la02,Small,Set A,2,2,715,0.1284,50
la02,Small,Set A,3,3,728,0.1294,10
la02,Small,Set A,4,4,686,0.1298,73
la02,Small,Set A,5,5,695,0.1291,97
la02,Small,Set A,6,6,737,0.1288,51
la02,Small,Set A,7,7,737,0.1289,71
la02,Small,Set A,8,8,712,0.1291,76
la02,Small,Set A,9,9,734,0.131,69
la02,Small,Set A,10,10,744,0.128,91
la02,Small,Set B,1,1,672,0.4394,33
la02,Small,Set B,2,2,702,0.4349,39
la02,Small,Set B,3,3,727,0.4291,45
la02,Small,Set B,4,4,725,0.4361,5
la02,Small,Set B,5,5,671,0.4348,130
la02,Small,Set B,6,6,711,0.4303,40
la02,Small,Set B,7,7,686,0.4319,199
la02,Small,Set B,8,8,707,0.4297,22
la02,Small,Set B,9,9,729,0.4374,8
la02,Small,Set B,10,10,680,0.4396,70
la02,Small,Set C,1,1,665,1.3446,25
la02,Small,Set C,2,2,677,1.3317,153
la02,Small,Set C,3,3,663,1.3131,44
la02,Small,Set C,4,4,677,1.3145,31
